timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
2023/03/08 20:05:06.685,250,STEP5_/step/5,200,OK,Thread Group 1-4,text,true,,2155,1537,5,5,https://challenge.flood.io/step/5,250,0,0
2023/03/08 20:05:06.776,238,STEPDONE_/start,302,Found,Thread Group 1-3,text,true,,1131,1965,5,5,https://challenge.flood.io/start,238,0,0
2023/03/08 20:05:07.758,238,STEP4_/step/4,200,OK,Thread Group 1-5,text,true,,2047,1537,5,5,https://challenge.flood.io/step/4,238,0,0
2023/03/08 20:05:08.001,232,STEP5_/start,302,Found,Thread Group 1-5,text,true,,1131,2269,5,5,https://challenge.flood.io/start,232,0,0
2023/03/08 20:05:08.158,288,openStartPage_/,200,OK,Thread Group 1-2,text,true,,3222,696,5,5,https://challenge.flood.io/,288,0,0
2023/03/08 20:05:08.242,240,STEP5_/step/5,200,OK,Thread Group 1-5,text,true,,2154,1537,5,5,https://challenge.flood.io/step/5,240,0,0
2023/03/08 20:05:08.261,237,openStartPage_/,200,OK,Thread Group 1-1,text,true,,3223,696,5,5,https://challenge.flood.io/,237,0,0
2023/03/08 20:05:08.381,235,STEP5_/code,200,OK,Thread Group 1-4,text,true,,1079,1367,5,5,https://challenge.flood.io/code,235,0,0
2023/03/08 20:05:08.417,245,STEPDONE_/done,200,OK,Thread Group 1-3,text,true,,1960,1548,5,5,https://challenge.flood.io/done,245,0,0
2023/03/08 20:05:08.455,237,STEP2_/start,302,Found,Thread Group 1-2,text,true,,1131,1826,5,5,https://challenge.flood.io/start,237,0,0
2023/03/08 20:05:08.517,236,STEP2_/start,302,Found,Thread Group 1-1,text,true,,1131,1822,5,5,https://challenge.flood.io/start,236,0,0
2023/03/08 20:05:08.626,240,STEPDONE_/start,302,Found,Thread Group 1-4,text,true,,1131,1963,5,5,https://challenge.flood.io/start,239,0,0
2023/03/08 20:05:09.906,283,STEP5_/code,200,OK,Thread Group 1-5,text,true,,1079,1367,5,5,https://challenge.flood.io/code,282,0,0
2023/03/08 20:05:10.155,275,openStartPage_/,200,OK,Thread Group 1-3,text,true,,3221,696,5,5,https://challenge.flood.io/,273,0,0
2023/03/08 20:05:10.156,285,STEP2_/step/2,200,OK,Thread Group 1-2,text,true,,2417,1451,5,5,https://challenge.flood.io/step/2,284,0,0
2023/03/08 20:05:10.195,248,STEP2_/step/2,200,OK,Thread Group 1-1,text,true,,2421,1451,5,5,https://challenge.flood.io/step/2,248,0,0
2023/03/08 20:05:10.209,383,STEPDONE_/start,302,Found,Thread Group 1-5,text,true,,1131,1969,5,5,https://challenge.flood.io/start,382,0,0
2023/03/08 20:05:10.209,383,STEPDONE_/done,200,OK,Thread Group 1-4,text,true,,1960,1548,5,5,https://challenge.flood.io/done,383,0,0
2023/03/08 20:05:10.448,263,STEP3_/start,302,Found,Thread Group 1-1,text,true,,1131,1851,5,5,https://challenge.flood.io/start,263,0,0
2023/03/08 20:05:10.448,263,STEP3_/start,302,Found,Thread Group 1-2,text,true,,1131,1855,5,5,https://challenge.flood.io/start,263,0,0
